brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P6-E11,,,303-1,303-1-A,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-E11,,,303-1,303-1-B,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-E11,,,413-1,413-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E11,,,413-1,413-1-A-II,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E12,,,2-27,2-27,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E12,,,2-27,2-27-B-I-II,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P6-E2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P6-E3,,,303-3,303-3,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E3,,,303-3,303-3-A-I-V,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E3,,,303-5,303-5,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P6-E3,,,303-5,303-5-A,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P6-E4,,,303-1,303-1-A,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-E4,,,303-2,303-2-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E5,,,305-7,305-7,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-E5,,,305-7,305-7-A-I-VII,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-1,305-1,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-1,305-1-B,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-2,305-2,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-2,305-2-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-E6,,,305-2,305-2-B,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
